Threshold,TP,FP,TN,FN,TPR,FPR,PPC
0,151,1111,0,0,1,1,0.88
1,151,1111,0,0,1,1,0.88
2,151,1111,0,0,1,1,0.88
3,151,1111,0,0,1,1,0.88
4,151,1111,0,0,1,1,0.88
5,151,1111,0,0,1,1,0.88
6,151,1111,0,0,1,1,0.88
7,151,1111,0,0,1,1,0.88
8,151,1111,0,0,1,1,0.88
9,151,1111,0,0,1,1,0.88
10,151,1111,0,0,1,1,0.88
11,151,1111,0,0,1,1,0.88
12,151,1111,0,0,1,1,0.88
13,151,1111,0,0,1,1,0.88
14,151,1111,0,0,1,1,0.88
15,151,1111,0,0,1,1,0.88
16,151,1111,0,0,1,1,0.88
17,151,1111,0,0,1,1,0.88
18,151,1111,0,0,1,1,0.88
19,151,1111,0,0,1,1,0.88
20,151,1111,0,0,1,1,0.88
21,151,1111,0,0,1,1,0.88
22,151,1111,0,0,1,1,0.88
23,151,1111,0,0,1,1,0.88
24,151,1111,0,0,1,1,0.88
25,151,1111,0,0,1,1,0.88
26,151,1111,0,0,1,1,0.88
27,151,1111,0,0,1,1,0.88
28,151,1111,0,0,1,1,0.88
29,151,1111,0,0,1,1,0.88
30,151,1111,0,0,1,1,0.88
31,151,1111,0,0,1,1,0.88
32,151,1111,0,0,1,1,0.88
33,151,1111,0,0,1,1,0.88
34,151,1111,0,0,1,1,0.88
35,151,1111,0,0,1,1,0.88
36,151,1111,0,0,1,1,0.88
37,151,1111,0,0,1,1,0.88
38,151,1111,0,0,1,1,0.88
39,151,1111,0,0,1,1,0.88
40,151,1111,0,0,1,1,0.88
41,151,1111,0,0,1,1,0.88
42,151,1111,0,0,1,1,0.88
43,151,1111,0,0,1,1,0.88
44,151,1111,0,0,1,1,0.88
45,151,1111,0,0,1,1,0.88
46,151,1111,0,0,1,1,0.88
47,151,1111,0,0,1,1,0.88
48,151,1111,0,0,1,1,0.88
49,151,1111,0,0,1,1,0.88
50,151,1111,0,0,1,1,0.88
51,151,1111,0,0,1,1,0.88
52,151,1111,0,0,1,1,0.88
53,151,1111,0,0,1,1,0.88
54,151,1111,0,0,1,1,0.88
55,151,1111,0,0,1,1,0.88
56,151,1111,0,0,1,1,0.88
57,151,1111,0,0,1,1,0.88
58,151,1111,0,0,1,1,0.88
59,151,1111,0,0,1,1,0.88
60,151,1111,0,0,1,1,0.88
61,151,1111,0,0,1,1,0.88
62,151,1111,0,0,1,1,0.88
63,151,1111,0,0,1,1,0.88
64,151,1111,0,0,1,1,0.88
65,151,1111,0,0,1,1,0.88
66,151,1111,0,0,1,1,0.88
67,151,1111,0,0,1,1,0.88
68,151,1111,0,0,1,1,0.88
69,151,1111,0,0,1,1,0.88
70,151,1111,0,0,1,1,0.88
71,151,1111,0,0,1,1,0.88
