Threshold,TP,FP,FN,TN,TPR,FPR,PPV
0,0,0,0,1,-nan,0.00,-nan
1,0,0,0,1,-nan,0.00,-nan
2,0,0,0,1,-nan,0.00,-nan
3,0,0,0,1,-nan,0.00,-nan
4,0,0,0,1,-nan,0.00,-nan
5,0,0,0,1,-nan,0.00,-nan
6,0,0,0,1,-nan,0.00,-nan
7,0,0,0,1,-nan,0.00,-nan
8,0,0,0,1,-nan,0.00,-nan
9,0,0,0,1,-nan,0.00,-nan
10,0,0,0,1,-nan,0.00,-nan
11,0,0,0,1,-nan,0.00,-nan
12,0,0,0,1,-nan,0.00,-nan
13,0,0,0,1,-nan,0.00,-nan
14,0,0,0,1,-nan,0.00,-nan
15,0,0,0,1,-nan,0.00,-nan
16,0,0,0,1,-nan,0.00,-nan
17,0,0,0,1,-nan,0.00,-nan
18,0,0,0,1,-nan,0.00,-nan
19,0,0,0,1,-nan,0.00,-nan
20,0,0,0,1,-nan,0.00,-nan
21,0,0,0,1,-nan,0.00,-nan
22,0,0,0,1,-nan,0.00,-nan
23,0,0,0,1,-nan,0.00,-nan
24,0,0,0,1,-nan,0.00,-nan
25,0,0,0,1,-nan,0.00,-nan
26,0,0,0,1,-nan,0.00,-nan
27,0,0,0,1,-nan,0.00,-nan
28,0,0,0,1,-nan,0.00,-nan
29,0,0,0,1,-nan,0.00,-nan
30,0,0,0,1,-nan,0.00,-nan
31,0,0,0,1,-nan,0.00,-nan
32,0,0,0,1,-nan,0.00,-nan
33,0,0,0,1,-nan,0.00,-nan
34,0,0,0,1,-nan,0.00,-nan
35,0,0,0,1,-nan,0.00,-nan
36,0,0,0,1,-nan,0.00,-nan
37,0,0,0,1,-nan,0.00,-nan
38,0,0,0,1,-nan,0.00,-nan
39,0,0,0,1,-nan,0.00,-nan
40,0,0,0,1,-nan,0.00,-nan
41,0,0,0,1,-nan,0.00,-nan
42,0,0,0,1,-nan,0.00,-nan
43,0,0,0,1,-nan,0.00,-nan
44,0,0,0,1,-nan,0.00,-nan
45,0,0,0,1,-nan,0.00,-nan
46,0,0,0,1,-nan,0.00,-nan
47,0,0,0,1,-nan,0.00,-nan
48,0,0,0,1,-nan,0.00,-nan
49,0,0,0,1,-nan,0.00,-nan
50,0,0,0,1,-nan,0.00,-nan
51,0,0,0,1,-nan,0.00,-nan
52,0,0,0,1,-nan,0.00,-nan
53,0,0,0,1,-nan,0.00,-nan
54,0,0,0,1,-nan,0.00,-nan
55,0,0,0,1,-nan,0.00,-nan
56,0,0,0,1,-nan,0.00,-nan
57,0,0,0,1,-nan,0.00,-nan
58,0,0,0,1,-nan,0.00,-nan
59,0,0,0,1,-nan,0.00,-nan
60,0,0,0,1,-nan,0.00,-nan
61,0,0,0,1,-nan,0.00,-nan
62,0,0,0,1,-nan,0.00,-nan
63,0,0,0,1,-nan,0.00,-nan
64,0,0,0,1,-nan,0.00,-nan
65,0,0,0,1,-nan,0.00,-nan
66,0,0,0,1,-nan,0.00,-nan
67,0,0,0,1,-nan,0.00,-nan
68,0,0,0,1,-nan,0.00,-nan
69,0,0,0,1,-nan,0.00,-nan
70,0,0,0,1,-nan,0.00,-nan
71,0,0,0,1,-nan,0.00,-nan
72,0,0,0,1,-nan,0.00,-nan
73,0,0,0,1,-nan,0.00,-nan
74,0,0,0,1,-nan,0.00,-nan
75,0,0,0,1,-nan,0.00,-nan
76,0,0,0,1,-nan,0.00,-nan
77,0,0,0,1,-nan,0.00,-nan
78,0,0,0,1,-nan,0.00,-nan
79,0,0,0,1,-nan,0.00,-nan
80,0,0,0,1,-nan,0.00,-nan
81,0,0,0,1,-nan,0.00,-nan
82,0,0,0,1,-nan,0.00,-nan
83,0,0,0,1,-nan,0.00,-nan
84,0,0,0,1,-nan,0.00,-nan
85,0,0,0,1,-nan,0.00,-nan
86,0,0,0,1,-nan,0.00,-nan
87,0,0,0,1,-nan,0.00,-nan
88,0,0,0,1,-nan,0.00,-nan
89,0,0,0,1,-nan,0.00,-nan
90,0,0,0,1,-nan,0.00,-nan
91,0,0,0,1,-nan,0.00,-nan
92,0,0,0,1,-nan,0.00,-nan
93,0,0,0,1,-nan,0.00,-nan
94,0,0,0,1,-nan,0.00,-nan
95,0,0,0,1,-nan,0.00,-nan
96,0,0,0,1,-nan,0.00,-nan
97,0,0,0,1,-nan,0.00,-nan
98,0,0,0,1,-nan,0.00,-nan
99,0,0,0,1,-nan,0.00,-nan
100,0,0,0,1,-nan,0.00,-nan
101,0,0,0,1,-nan,0.00,-nan
102,0,0,0,1,-nan,0.00,-nan
103,0,0,0,1,-nan,0.00,-nan
104,0,0,0,1,-nan,0.00,-nan
105,0,0,0,1,-nan,0.00,-nan
106,0,0,0,1,-nan,0.00,-nan
107,0,0,0,1,-nan,0.00,-nan
108,0,0,0,1,-nan,0.00,-nan
109,0,0,0,1,-nan,0.00,-nan
110,0,0,0,1,-nan,0.00,-nan
111,0,0,0,1,-nan,0.00,-nan
112,0,0,0,1,-nan,0.00,-nan
113,0,0,0,1,-nan,0.00,-nan
114,0,0,0,1,-nan,0.00,-nan
115,0,0,0,1,-nan,0.00,-nan
116,0,0,0,1,-nan,0.00,-nan
117,0,0,0,1,-nan,0.00,-nan
118,0,0,0,1,-nan,0.00,-nan
119,0,0,0,1,-nan,0.00,-nan
120,0,0,0,1,-nan,0.00,-nan
121,0,0,0,1,-nan,0.00,-nan
122,0,0,0,1,-nan,0.00,-nan
123,0,0,0,1,-nan,0.00,-nan
124,0,0,0,1,-nan,0.00,-nan
125,0,0,0,1,-nan,0.00,-nan
126,0,0,0,1,-nan,0.00,-nan
127,0,0,0,1,-nan,0.00,-nan
128,0,0,0,1,-nan,0.00,-nan
129,0,0,0,1,-nan,0.00,-nan
130,0,0,0,1,-nan,0.00,-nan
131,0,0,0,1,-nan,0.00,-nan
132,0,0,0,1,-nan,0.00,-nan
133,0,0,0,1,-nan,0.00,-nan
134,0,0,0,1,-nan,0.00,-nan
135,0,0,0,1,-nan,0.00,-nan
136,0,0,0,1,-nan,0.00,-nan
137,0,0,0,1,-nan,0.00,-nan
138,0,0,0,1,-nan,0.00,-nan
139,0,0,0,1,-nan,0.00,-nan
140,0,0,0,1,-nan,0.00,-nan
141,0,0,0,1,-nan,0.00,-nan
142,0,0,0,1,-nan,0.00,-nan
143,0,0,0,1,-nan,0.00,-nan
144,0,0,0,1,-nan,0.00,-nan
145,0,0,0,1,-nan,0.00,-nan
146,0,0,0,1,-nan,0.00,-nan
147,0,0,0,1,-nan,0.00,-nan
148,0,0,0,1,-nan,0.00,-nan
149,0,0,0,1,-nan,0.00,-nan
150,0,0,0,1,-nan,0.00,-nan
151,0,0,0,1,-nan,0.00,-nan
